t_ms,errH,errV,pulseH_us,pulseV_us,tl,tr,bl,br,v_panel_mV,i_panel_mA,v_load_mV,i_load_mA
50205,-41,-5,1500,1500,4061,3680,3662,4084,4158,227,3913,209
50305,-43,11,1500,1500,4069,3703,3676,4085,4159,230,3916,209
50420,-48,-2,1500,1500,4060,3685,3662,4085,4167,236,3916,205
50520,-65,-9,1500,1500,4048,3655,3627,4085,4175,239,3916,206
50621,-57,-47,1500,1500,4030,3613,3608,4082,4172,240,3916,205
50722,-54,-62,1500,1500,4023,3594,3598,4081,4167,239,3918,206
50827,-66,-34,1500,1500,4033,3610,3594,4083,4171,237,3912,209
50933,-67,-21,1500,1500,4040,3630,3607,4084,4167,234,3916,205
51033,-57,-23,1500,1500,4045,3645,3628,4085,4163,232,3916,205
51134,-51,-23,1500,1500,4049,3653,3639,4086,4167,233,3916,206
51234,-57,-17,1500,1500,4049,3651,3631,4086,4167,235,3916,206
51334,-64,-12,1500,1500,4048,3642,3616,4086,4171,238,3916,207
51443,-58,-34,1500,1500,4038,3616,3604,4084,4171,240,3916,207
51543,-52,-60,1500,1500,4027,3594,3598,4083,4172,240,3916,208
51644,-61,-49,1500,1500,4029,3600,3594,4084,4176,240,3920,208
51750,-76,-22,1500,1500,4036,3624,3597,4085,4167,238,3916,208
51850,-67,-23,1500,1500,4041,3639,3617,4086,4167,237,3916,206
51952,-57,-25,1500,1500,4045,3648,3632,4086,4167,236,3916,208
52052,-55,-21,1500,1500,4048,3649,3632,4086,4167,237,3916,205
52153,-62,-12,1500,1500,4049,3645,3620,4086,4171,239,3916,205
52253,-56,-26,1500,1500,4045,3627,3612,4086,4176,241,3916,206
52353,-42,-52,1500,1500,4039,3605,3610,4086,4176,241,3916,207
52458,-38,-66,1500,1500,4032,3592,3606,4084,4176,240,3916,208
52558,-44,-58,1500,1500,4033,3596,3603,4084,4171,239,3920,205
52659,-57,-37,1500,1500,4038,3610,3600,4085,4171,239,3916,206
52764,-64,-16,1500,1500,4046,3624,3600,4086,4175,239,3916,208
52864,-69,-3,1500,1500,4050,3634,3601,4086,4171,239,3916,209
52971,-67,3,1500,1500,4053,3637,3602,4085,4172,240,3916,208
53071,-64,2,1500,1500,4055,3635,3602,4086,4171,239,3916,205
53172,-61,-9,1500,1500,4051,3630,3604,4086,4176,240,3916,205
53272,-56,-20,1500,1500,4047,3623,3605,4085,4172,240,3916,207
53372,-50,-40,1500,1500,4041,3609,3604,4086,4172,241,3920,207
53478,-40,-62,1500,1500,4035,3595,3606,4086,4172,241,3920,209
53578,-35,-71,1500,1500,4033,3589,3607,4086,4172,241,3916,209
53679,-34,-66,1500,1500,4035,3592,3608,4085,4176,240,3916,208
53785,-46,-46,1500,1500,4040,3607,3607,4086,4172,239,3916,206
53903,-56,-14,1500,1500,4051,3627,3606,4086,4167,239,3909,216
54012,-61,-5,1500,1500,4053,3634,3606,4086,4172,240,3916,202
54112,-54,-18,1500,1500,4050,3625,3607,4086,4167,235,3912,206
54213,-38,-48,1500,1500,4042,3605,3610,4085,4167,236,3916,206
54313,-27,-71,1500,1500,4036,3591,3613,4085,4167,237,3916,207
54419,-26,-74,1500,1500,4034,3588,3612,4084,4167,237,3916,209
54519,-32,-62,1500,1500,4038,3595,3610,4085,4167,236,3917,210
54619,-37,-57,1500,1500,4038,3598,3608,4085,4171,237,3919,206
54720,-25,-69,1500,1500,4038,3592,3614,4085,4171,238,3916,205
54821,-15,-85,1500,1500,4035,3584,3619,4085,4172,240,3912,205
54927,-18,-78,1500,1500,4038,3588,3618,4086,4171,239,3920,208
55027,-37,-51,1500,1500,4042,3604,3611,4086,4171,237,3916,209
55127,-49,-29,1500,1500,4047,3618,3608,4086,4167,236,3916,207
55228,-58,-20,1500,1500,4047,3625,3606,4086,4167,237,3916,208
55328,-54,-26,1500,1500,4046,3622,3608,4086,4167,237,3917,210
55435,-53,-31,1500,1500,4044,3620,3609,4086,4143,237,3876,315
55535,-63,-13,1500,1500,4048,3632,3607,4086,4167,236,3916,205
55635,-74,6,1500,1500,4052,3646,3606,4086,4163,235,3916,207
55752,-81,21,1500,1500,4056,3662,3611,4086,4163,235,3910,224
55852,-81,23,1500,1500,4057,3667,3615,4086,4167,236,3916,208
55959,-74,18,1500,1500,4058,3661,3615,4086,4171,238,3916,210
56059,-65,1,1500,1500,4054,3649,3616,4086,4175,240,3912,208
56161,-64,0,1500,1500,4054,3643,3611,4086,4171,238,3916,205
56270,-68,4,1500,1500,4054,3645,3609,4086,4167,236,3916,210
56370,-70,14,1500,1500,4058,3652,3610,4086,4167,235,3916,208
56475,-70,20,1500,1500,4061,3660,3615,4086,4167,235,3916,207
56575,-67,21,1500,1500,4063,3662,3618,4086,4167,238,3913,208
56676,-65,19,1500,1500,4063,3659,3617,4086,4167,237,3916,209
56778,-58,2,1500,1500,4058,3647,3617,4086,4167,237,3917,209
56878,-48,-22,1500,1500,4051,3630,3617,4086,4167,238,3916,208
56986,-45,-35,1500,1500,4046,3622,3617,4086,4167,238,3916,209
57086,-54,-20,1500,1500,4048,3630,3613,4085,4171,238,3916,209
57187,-65,3,1500,1500,4055,3645,3611,4086,4167,236,3912,209
57287,-74,18,1500,1500,4058,3661,3615,4086,4167,235,3912,207
57387,-76,24,1500,1500,4060,3669,3619,4086,4167,236,3910,209
57488,-73,25,1500,1500,4062,3665,3616,4086,4167,237,3917,208
57588,-59,-5,1500,1500,4054,3645,3618,4086,4172,240,3916,205
57689,-45,-31,1500,1500,4048,3628,3621,4086,4168,241,3916,207
57798,-50,-26,1500,1500,4048,3628,3616,4086,4171,238,3916,206
57906,-61,-7,1500,1500,4052,3638,3611,4086,4159,238,3910,209
58006,-61,-1,1500,1500,4055,3640,3610,4086,4171,239,3920,208
58106,-47,-15,1500,1500,4055,3632,3616,4086,4172,241,3916,208
58207,-33,-41,1500,1500,4049,3617,3621,4086,4176,241,3916,209
58307,-28,-58,1500,1500,4043,3607,3622,4086,4172,240,3916,208
58413,-38,-56,1500,1500,4039,3606,3615,4086,4167,239,3910,226
58522,-46,-44,1500,1500,4041,3610,3609,4086,4171,239,3916,205
58622,-44,-42,1500,1500,4043,3611,3610,4086,4172,240,3916,207
58724,-36,-50,1500,1500,4043,3609,3616,4086,4168,240,3916,210
58827,-30,-56,1500,1500,4043,3606,3619,4086,4171,238,3916,205
58932,-25,-67,1500,1500,4039,3601,3622,4085,4167,239,3916,206
59032,-20,-72,1500,1500,4039,3596,3622,4085,4171,238,3916,209
59132,-19,-75,1500,1500,4037,3596,3624,4084,4171,239,3916,209
59233,-19,-77,1500,1500,4034,3598,3627,4082,4172,243,3916,208
59333,-16,-74,1500,1500,4034,3602,3631,4079,4176,243,3920,205
59440,-11,-75,1500,1500,4035,3604,3636,4078,4172,241,3916,206
59540,-8,-82,1500,1500,4033,3603,3640,4078,4176,240,3920,207
59640,-15,-77,1500,1500,4034,3603,3634,4080,4167,238,3917,209
59747,-39,-39,1500,1500,4043,3619,3619,4082,4167,238,3914,220
59847,-58,-8,1500,1500,4051,3637,3612,4084,4171,238,3912,208
59952,-63,5,1500,1500,4056,3643,3609,4085,4171,238,3912,208
